// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B457A5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
52087	0	0	0	0	0	0	0	0	9.302648	-1.000347	-2.988638	-0.026367	-0.028076	0.660400	0.093023	-0.010009	-0.029895	1.000000	0.000211	0.000068	-0.000128	0.290259	-0.137013	0.947089	-0.132869	-0.985881	-0.101904	0.947679	-0.096260	-0.304365
52088	0	0	0	0	0	0	0	0	9.303383	-0.999185	-2.986737	-0.031494	-0.025635	0.658691	0.093030	-0.009998	-0.029878	1.000000	0.000187	0.000094	-0.000125	0.290485	-0.136065	0.947156	-0.130074	-0.986265	-0.101791	0.947997	-0.093632	-0.304194
52089	0	0	0	0	0	0	0	0	9.258213	-0.997088	-2.955307	-0.025635	-0.031738	0.657715	0.092579	-0.009974	-0.029561	1.000000	0.000203	0.000061	-0.000098	0.290382	-0.136354	0.947146	-0.130887	-0.986153	-0.101841	0.947917	-0.094396	-0.304208
52090	0	0	0	0	0	0	0	0	9.291960	-0.993220	-2.962825	-0.028076	-0.026611	0.658447	0.092916	-0.009936	-0.029638	1.000000	0.000213	0.000077	-0.000114	0.290266	-0.136115	0.947216	-0.130417	-0.986224	-0.101756	0.948018	-0.093997	-0.304019
52091	0	0	0	0	0	0	0	0	9.288391	-0.969592	-2.968457	-0.030029	-0.031982	0.656006	0.092881	-0.009700	-0.029694	1.000000	0.000227	0.000077	-0.000112	0.290153	-0.135881	0.947284	-0.129929	-0.986296	-0.101679	0.948119	-0.093577	-0.303832
52092	0	0	0	0	0	0	0	0	9.297539	-1.014440	-2.951693	-0.028809	-0.026611	0.664063	0.092972	-0.010149	-0.029525	1.000000	0.000211	0.000064	-0.000117	0.290063	-0.135638	0.947347	-0.129461	-0.986367	-0.101586	0.948211	-0.093178	-0.303668
52093	0	0	0	0	0	0	0	0	9.293834	-0.990806	-2.957753	-0.020752	-0.027344	0.664307	0.092936	-0.009911	-0.029584	1.000000	0.000223	0.000047	-0.000107	0.290001	-0.135418	0.947397	-0.128975	-0.986438	-0.101518	0.948296	-0.092751	-0.303534
52094	0	0	0	0	0	0	0	0	9.298604	-1.012897	-2.948865	-0.029297	-0.025146	0.656982	0.092983	-0.010133	-0.029496	1.000000	0.000214	0.000052	-0.000111	0.289931	-0.135189	0.947451	-0.128504	-0.986508	-0.101438	0.948381	-0.092341	-0.303391
52095	0	0	0	0	0	0	0	0	9.315309	-0.981660	-2.943691	-0.020508	-0.036377	0.660400	0.093150	-0.009822	-0.029445	1.000000	0.000225	0.000068	-0.000126	0.289832	-0.134927	0.947519	-0.128004	-0.986583	-0.101335	0.948479	-0.091916	-0.303214
52096	0	0	0	0	0	0	0	0	9.283680	-1.041154	-2.949462	-0.031250	-0.019775	0.660400	0.092834	-0.010418	-0.029501	1.000000	0.000207	0.000041	-0.000135	0.289789	-0.134653	0.947571	-0.127533	-0.986657	-0.101205	0.948556	-0.091518	-0.303095
52097	0	0	0	0	0	0	0	0	9.296927	-1.044533	-2.968619	-0.025391	-0.028564	0.652344	0.092967	-0.010449	-0.029692	1.000000	0.000218	0.000041	-0.000106	0.289733	-0.134439	0.947619	-0.127058	-0.986725	-0.101139	0.948636	-0.091099	-0.302968
52098	0	0	0	0	0	0	0	0	9.305041	-1.031745	-2.935842	-0.036865	-0.029297	0.654541	0.093048	-0.010323	-0.029365	1.000000	0.000195	0.000050	-0.000123	0.289670	-0.134188	0.947673	-0.126616	-0.986794	-0.101025	0.948715	-0.090727	-0.302835
52099	0	0	0	0	0	0	0	0	9.297957	-1.042662	-2.966052	-0.030273	-0.028809	0.653076	0.092977	-0.010431	-0.029667	1.000000	0.000187	0.000047	-0.000104	0.289597	-0.133981	0.947725	-0.126200	-0.986855	-0.100950	0.948792	-0.090368	-0.302699
52100	0	0	0	0	0	0	0	0	9.285655	-1.037318	-2.944590	-0.026611	-0.027588	0.660645	0.092854	-0.010379	-0.029451	1.000000	0.000180	0.000032	-0.000117	0.289566	-0.133745	0.947768	-0.125792	-0.986919	-0.100837	0.948856	-0.090022	-0.302602
52101	0	0	0	0	0	0	0	0	9.298866	-1.040724	-2.963881	-0.025635	-0.025146	0.655273	0.092986	-0.010411	-0.029645	1.000000	0.000182	0.000041	-0.000102	0.289501	-0.133551	0.947815	-0.125386	-0.986977	-0.100771	0.948930	-0.089670	-0.302476
52102	0	0	0	0	0	0	0	0	9.302616	-1.005052	-2.938880	-0.030029	-0.031982	0.658691	0.093024	-0.010056	-0.029394	1.000000	0.000176	0.000039	-0.000112	0.289455	-0.133323	0.947861	-0.124987	-0.987038	-0.100666	0.948997	-0.089332	-0.302366
52103	0	0	0	0	0	0	0	0	9.282725	-1.011705	-2.948871	-0.026367	-0.031006	0.656006	0.092825	-0.010121	-0.029495	1.000000	0.000156	0.000050	-0.000092	0.289367	-0.133155	0.947912	-0.124636	-0.987088	-0.100611	0.949069	-0.089030	-0.302226
52104	0	0	0	0	0	0	0	0	9.299255	-0.980582	-2.944087	-0.027588	-0.024902	0.656006	0.092990	-0.009809	-0.029447	1.000000	0.000201	0.000047	-0.000103	0.289302	-0.132944	0.947961	-0.124196	-0.987151	-0.100537	0.949147	-0.088647	-0.302096
52105	0	0	0	0	0	0	0	0	9.332977	-1.040612	-2.908884	-0.038818	-0.027100	0.660645	0.093328	-0.010410	-0.029094	1.000000	0.000168	0.000037	-0.000093	0.289236	-0.132776	0.948005	-0.123821	-0.987203	-0.100488	0.949216	-0.088318	-0.301976
52106	0	0	0	0	0	0	0	0	9.275611	-1.027847	-2.917402	-0.023926	-0.022949	0.658936	0.092754	-0.010282	-0.029180	1.000000	0.000173	0.000043	-0.000095	0.289179	-0.132580	0.948050	-0.123437	-0.987259	-0.100412	0.949283	-0.087988	-0.301860
52107	0	0	0	0	0	0	0	0	9.317632	-1.005521	-2.953477	-0.027832	-0.020752	0.658447	0.093174	-0.010059	-0.029540	1.000000	0.000168	0.000037	-0.000093	0.289101	-0.132422	0.948096	-0.123061	-0.987310	-0.100374	0.949356	-0.087655	-0.301728
52108	0	0	0	0	0	0	0	0	9.289189	-1.030750	-2.935739	-0.018311	-0.026123	0.655762	0.092890	-0.010311	-0.029361	1.000000	0.000157	0.000025	-0.000090	0.289076	-0.132241	0.948129	-0.122710	-0.987361	-0.100299	0.949409	-0.087351	-0.301649
52109	0	0	0	0	0	0	0	0	9.286290	-1.064754	-2.958772	-0.028564	-0.025146	0.657959	0.092861	-0.010652	-0.029592	1.000000	0.000144	0.000024	-0.000092	0.289016	-0.132095	0.948167	-0.122381	-0.987406	-0.100258	0.949470	-0.087061	-0.301542
52110	0	0	0	0	0	0	0	0	9.294201	-1.051800	-2.926506	-0.025146	-0.022217	0.654053	0.092940	-0.010523	-0.029269	1.000000	0.000135	0.000030	-0.000096	0.288983	-0.131901	0.948204	-0.122069	-0.987455	-0.100159	0.949520	-0.086802	-0.301458
52111	0	0	0	0	0	0	0	0	9.274248	-1.058568	-2.936734	-0.023682	-0.027588	0.664551	0.092740	-0.010589	-0.029372	1.000000	0.000115	0.000040	-0.000076	0.288884	-0.131803	0.948248	-0.121803	-0.987489	-0.100150	0.949584	-0.086568	-0.301324
52112	0	0	0	0	0	0	0	0	9.270324	-1.034787	-2.943486	-0.025391	-0.029297	0.653320	0.092701	-0.010354	-0.029439	1.000000	0.000121	0.000033	-0.000109	0.288847	-0.131583	0.948290	-0.121510	-0.987538	-0.100017	0.949633	-0.086337	-0.301236
52113	0	0	0	0	0	0	0	0	9.311416	-1.018525	-2.920206	-0.029297	-0.027832	0.660400	0.093112	-0.010189	-0.029208	1.000000	0.000111	0.000048	-0.000071	0.288731	-0.131510	0.948335	-0.121254	-0.987568	-0.100033	0.949701	-0.086107	-0.301087
52114	0	0	0	0	0	0	0	0	9.304323	-1.029975	-2.950478	-0.027832	-0.027100	0.661133	0.093041	-0.010303	-0.029511	1.000000	0.000108	0.000055	-0.000065	0.288642	-0.131371	0.948382	-0.121011	-0.987604	-0.099975	0.949759	-0.085908	-0.300961
52115	0	0	0	0	0	0	0	0	9.300671	-1.070362	-2.913548	-0.028076	-0.026367	0.652344	0.093004	-0.010708	-0.029141	1.000000	0.000081	0.000054	-0.000069	0.288506	-0.131309	0.948431	-0.120812	-0.987627	-0.099985	0.949826	-0.085736	-0.300800
52116	0	0	0	0	0	0	0	0	9.276461	-1.054487	-2.931209	-0.027832	-0.019043	0.657959	0.092762	-0.010549	-0.029318	1.000000	0.000072	0.000056	-0.000062	0.288415	-0.131176	0.948478	-0.120639	-0.987656	-0.099911	0.949875	-0.085608	-0.300679
52117	0	0	0	0	0	0	0	0	9.285649	-1.099284	-2.914486	-0.027588	-0.021973	0.658691	0.092854	-0.010996	-0.029152	1.000000	0.000052	0.000071	-0.000054	0.288241	-0.131161	0.948532	-0.120503	-0.987668	-0.099954	0.949945	-0.085490	-0.300492
52118	0	0	0	0	0	0	0	0	9.297750	-1.045349	-2.917528	-0.025879	-0.030029	0.654541	0.092975	-0.010458	-0.029180	1.000000	0.000053	0.000050	-0.000062	0.288162	-0.131030	0.948575	-0.120367	-0.987693	-0.099869	0.949987	-0.085398	-0.300387
52119	0	0	0	0	0	0	0	0	9.307839	-1.083856	-2.960475	-0.031494	-0.023926	0.655762	0.093076	-0.010842	-0.029611	1.000000	0.000019	0.000060	-0.000044	0.287996	-0.131058	0.948621	-0.120300	-0.987695	-0.099934	0.950045	-0.085339	-0.300218
52120	0	0	0	0	0	0	0	0	9.295472	-1.078771	-2.938998	-0.018555	-0.015869	0.653809	0.092952	-0.010791	-0.029396	1.000000	0.000033	0.000060	-0.000042	0.287891	-0.130964	0.948666	-0.120214	-0.987711	-0.099874	0.950088	-0.085290	-0.300097
52121	0	0	0	0	0	0	0	0	9.307599	-1.025003	-2.941864	-0.028320	-0.019043	0.661865	0.093073	-0.010253	-0.029427	1.000000	0.000001	0.000088	-0.000032	0.287680	-0.131033	0.948721	-0.120184	-0.987705	-0.099973	0.950156	-0.085261	-0.299891
52122	0	0	0	0	0	0	0	0	9.312480	-1.047119	-2.932697	-0.026123	-0.026611	0.662598	0.093122	-0.010475	-0.029333	1.000000	-0.000007	0.000069	-0.000034	0.287558	-0.130954	0.948768	-0.120177	-0.987713	-0.099906	0.950194	-0.085292	-0.299762
52123	0	0	0	0	0	0	0	0	9.288301	-1.031458	-2.950242	-0.026611	-0.020752	0.666260	0.092881	-0.010317	-0.029509	1.000000	-0.000018	0.000078	-0.000021	0.287352	-0.131055	0.948817	-0.120185	-0.987699	-0.100027	0.950255	-0.085291	-0.299568
52124	0	0	0	0	0	0	0	0	9.280339	-1.049357	-2.920756	-0.035645	-0.023682	0.657471	0.092801	-0.010495	-0.029215	1.000000	-0.000030	0.000087	-0.000009	0.287189	-0.131023	0.948871	-0.120238	-0.987697	-0.099992	0.950297	-0.085373	-0.299410
52125	0	0	0	0	0	0	0	0	9.289352	-1.030494	-2.947267	-0.032471	-0.023926	0.659180	0.092891	-0.010309	-0.029480	1.000000	-0.000041	0.000083	-0.000027	0.286973	-0.131121	0.948922	-0.120278	-0.987681	-0.100102	0.950358	-0.085408	-0.299209
52126	0	0	0	0	0	0	0	0	9.317698	-1.010215	-2.903005	-0.031982	-0.022217	0.657227	0.093174	-0.010103	-0.029039	1.000000	-0.000028	0.000100	-0.000006	0.286785	-0.131093	0.948983	-0.120328	-0.987677	-0.100074	0.950408	-0.085490	-0.299025
52127	0	0	0	0	0	0	0	0	9.313890	-0.987021	-2.909131	-0.026367	-0.030029	0.662354	0.093136	-0.009873	-0.029098	1.000000	-0.000032	0.000077	-0.000023	0.286579	-0.131200	0.949031	-0.120361	-0.987661	-0.100195	0.950466	-0.085513	-0.298834
52128	0	0	0	0	0	0	0	0	9.348742	-1.040611	-2.933051	-0.025391	-0.025146	0.657715	0.093485	-0.010411	-0.029336	1.000000	-0.000039	0.000062	-0.000036	0.286469	-0.131119	0.949075	-0.120415	-0.987664	-0.100104	0.950492	-0.085606	-0.298724
52129	0	0	0	0	0	0	0	0	9.336360	-1.035532	-2.911517	-0.029541	-0.021484	0.658447	0.093361	-0.010357	-0.029122	1.000000	-0.000027	0.000079	-0.000014	0.286261	-0.131237	0.949121	-0.120468	-0.987644	-0.100230	0.950548	-0.085647	-0.298534
52130	0	0	0	0	0	0	0	0	9.299401	-1.015308	-2.908665	-0.024902	-0.028320	0.651367	0.092991	-0.010158	-0.029094	1.000000	-0.000032	0.000085	-0.000046	0.286111	-0.131133	0.949181	-0.120503	-0.987651	-0.100124	0.950589	-0.085733	-0.298379
52131	0	0	0	0	0	0	0	0	9.259428	-1.029741	-2.929399	-0.032959	-0.025879	0.661621	0.092591	-0.010301	-0.029303	1.000000	-0.000047	0.000101	-0.000028	0.285870	-0.131220	0.949242	-0.120587	-0.987632	-0.100211	0.950651	-0.085819	-0.298158
52132	0	0	0	0	0	0	0	0	9.293250	-1.025681	-2.936639	-0.026855	-0.024170	0.658203	0.092929	-0.010261	-0.029376	1.000000	-0.000042	0.000107	-0.000030	0.285674	-0.131142	0.949312	-0.120650	-0.987632	-0.100129	0.950702	-0.085930	-0.297963
52133	0	0	0	0	0	0	0	0	9.293926	-1.024779	-2.934816	-0.032471	-0.026611	0.660645	0.092936	-0.010253	-0.029357	1.000000	-0.000053	0.000099	-0.000037	0.285434	-0.131213	0.949374	-0.120719	-0.987616	-0.100204	0.950765	-0.086006	-0.297739
52134	0	0	0	0	0	0	0	0	9.306107	-0.970825	-2.937405	-0.025635	-0.025635	0.659180	0.093058	-0.009711	-0.029382	1.000000	-0.000035	0.000085	-0.000018	0.285277	-0.131163	0.949428	-0.120776	-0.987615	-0.100149	0.950805	-0.086098	-0.297585
52135	0	0	0	0	0	0	0	0	9.311051	-0.992865	-2.928054	-0.035645	-0.025635	0.658691	0.093107	-0.009933	-0.029289	1.000000	-0.000039	0.000100	-0.000035	0.285047	-0.131229	0.949488	-0.120829	-0.987601	-0.100222	0.950867	-0.086158	-0.297370
52136	0	0	0	0	0	0	0	0	9.291349	-0.999762	-2.937688	-0.027344	-0.016846	0.658203	0.092911	-0.010001	-0.029384	1.000000	-0.000001	0.000074	-0.000036	0.284915	-0.131146	0.949539	-0.120812	-0.987610	-0.100154	0.950909	-0.086180	-0.297228
52137	0	0	0	0	0	0	0	0	9.280180	-0.988429	-2.975269	-0.032715	-0.030273	0.654785	0.092798	-0.009888	-0.029762	1.000000	-0.000011	0.000101	-0.000031	0.284698	-0.131208	0.949595	-0.120784	-0.987604	-0.100248	0.950977	-0.086156	-0.297017
52138	0	0	0	0	0	0	0	0	9.317230	-1.013465	-2.915255	-0.025635	-0.031006	0.657715	0.093169	-0.010139	-0.029162	1.000000	-0.000020	0.000106	-0.000035	0.284505	-0.131120	0.949666	-0.120802	-0.987610	-0.100169	0.951033	-0.086223	-0.296819
52139	0	0	0	0	0	0	0	0	9.333825	-0.982278	-2.909847	-0.024902	-0.020264	0.654785	0.093335	-0.009826	-0.029108	1.000000	-0.000003	0.000099	-0.000039	0.284291	-0.131170	0.949723	-0.120834	-0.987600	-0.100230	0.951093	-0.086265	-0.296616
