// General information: 
//  MT Manager version: 2025.0.0 
//  XDA version: 2025.0.0 build 241121001 rev 1732180523 built on 2024-11-21
// Device information: 
//  DeviceId: 00B457A5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
30559	0	0	0	0	0	0	0	0	9.858886	-0.389743	-0.381041	-0.161865	0.459961	0.185059	0.098589	-0.003900	-0.003809	1.000000	0.000058	-0.000020	-0.000026	0.052081	0.016258	0.998511	0.906256	-0.420793	-0.040417	0.419509	0.907011	-0.036649
30560	0	0	0	0	0	0	0	0	9.881418	-0.374483	-0.359585	-0.162842	0.452148	0.188232	0.098814	-0.003749	-0.003595	1.000000	0.000054	-0.000008	-0.000041	0.052013	0.016306	0.998513	0.906305	-0.420694	-0.040340	0.419410	0.907056	-0.036660
30561	0	0	0	0	0	0	0	0	9.890461	-0.401968	-0.377542	-0.165039	0.458008	0.191650	0.098905	-0.004023	-0.003775	1.000000	0.000036	-0.000009	-0.000031	0.051965	0.016350	0.998515	0.906338	-0.420628	-0.040280	0.419345	0.907086	-0.036676
30562	0	0	0	0	0	0	0	0	9.881214	-0.423672	-0.380445	-0.160400	0.455566	0.183838	0.098812	-0.004241	-0.003803	1.000000	0.000022	-0.000013	-0.000044	0.051896	0.016410	0.998518	0.906361	-0.420587	-0.040194	0.419304	0.907104	-0.036700
30563	0	0	0	0	0	0	0	0	9.876191	-0.424934	-0.346571	-0.159912	0.453857	0.186768	0.098762	-0.004253	-0.003465	1.000000	0.000015	-0.000011	-0.000035	0.051843	0.016460	0.998520	0.906378	-0.420558	-0.040126	0.419275	0.907116	-0.036722
30564	0	0	0	0	0	0	0	0	9.862968	-0.416441	-0.365741	-0.159912	0.448975	0.190186	0.098630	-0.004168	-0.003657	1.000000	0.000006	-0.000009	-0.000040	0.051779	0.016510	0.998522	0.906387	-0.420546	-0.040048	0.419263	0.907121	-0.036740
30565	0	0	0	0	0	0	0	0	9.890565	-0.398902	-0.378069	-0.163330	0.453125	0.187012	0.098905	-0.003994	-0.003782	1.000000	0.000029	0.000016	-0.000048	0.051681	0.016520	0.998527	0.906416	-0.420491	-0.039957	0.419212	0.907146	-0.036705
30566	0	0	0	0	0	0	0	0	9.868086	-0.412816	-0.399700	-0.158936	0.455322	0.184082	0.098681	-0.004131	-0.003996	1.000000	0.000024	-0.000013	-0.000030	0.051637	0.016569	0.998528	0.906440	-0.420446	-0.039898	0.419166	0.907166	-0.036729
30567	0	0	0	0	0	0	0	0	9.868127	-0.411930	-0.399608	-0.168457	0.445801	0.187500	0.098681	-0.004125	-0.003998	1.000000	0.000038	0.000020	-0.000062	0.051513	0.016587	0.998535	0.906478	-0.420375	-0.039781	0.419099	0.907199	-0.036690
30568	0	0	0	0	0	0	0	0	9.858918	-0.433253	-0.402232	-0.170654	0.456787	0.187988	0.098589	-0.004338	-0.004021	1.000000	0.000029	-0.000015	-0.000053	0.051429	0.016658	0.998538	0.906507	-0.420322	-0.039678	0.419046	0.907222	-0.036717
30569	0	0	0	0	0	0	0	0	9.885673	-0.397178	-0.343912	-0.163818	0.447510	0.197021	0.098857	-0.003977	-0.003439	1.000000	0.000036	-0.000004	-0.000050	0.051354	0.016711	0.998541	0.906542	-0.420255	-0.039589	0.418981	0.907252	-0.036731
30570	0	0	0	0	0	0	0	0	9.827439	-0.417967	-0.406303	-0.166748	0.457031	0.180908	0.098274	-0.004183	-0.004063	1.000000	0.000038	-0.000004	-0.000036	0.051291	0.016749	0.998543	0.906577	-0.420185	-0.039519	0.418911	0.907284	-0.036736
30571	0	0	0	0	0	0	0	0	9.859217	-0.380303	-0.382014	-0.167236	0.451904	0.187012	0.098592	-0.003805	-0.003820	1.000000	0.000029	-0.000007	-0.000022	0.051272	0.016787	0.998544	0.906603	-0.420132	-0.039488	0.418857	0.907308	-0.036760
30572	0	0	0	0	0	0	0	0	9.840721	-0.424804	-0.387580	-0.162842	0.455811	0.186279	0.098407	-0.004250	-0.003875	1.000000	0.000027	-0.000013	-0.000017	0.051252	0.016824	0.998544	0.906628	-0.420083	-0.039456	0.418807	0.907330	-0.036783
30573	0	0	0	0	0	0	0	0	9.845773	-0.422511	-0.421759	-0.170166	0.461182	0.186768	0.098458	-0.004226	-0.004218	1.000000	0.000045	0.000002	-0.000015	0.051243	0.016842	0.998544	0.906666	-0.420000	-0.039444	0.418725	0.907368	-0.036792
30574	0	0	0	0	0	0	0	0	9.844761	-0.454286	-0.371172	-0.168701	0.456299	0.185059	0.098447	-0.004546	-0.003713	1.000000	0.000004	0.000016	-0.000029	0.051176	0.016837	0.998548	0.906673	-0.419992	-0.039386	0.418719	0.907372	-0.036759
30575	0	0	0	0	0	0	0	0	9.859075	-0.429327	-0.402592	-0.158936	0.454102	0.184082	0.098591	-0.004296	-0.004024	1.000000	0.000058	-0.000020	-0.000026	0.051179	0.016906	0.998546	0.906723	-0.419885	-0.039364	0.418609	0.907420	-0.036818
30576	0	0	0	0	0	0	0	0	9.868344	-0.406388	-0.399923	-0.162598	0.448730	0.183105	0.098683	-0.004067	-0.004001	1.000000	0.000041	0.000014	-0.000030	0.051113	0.016905	0.998550	0.906760	-0.419811	-0.039307	0.418537	0.907454	-0.036787
30577	0	0	0	0	0	0	0	0	9.859132	-0.428200	-0.402394	-0.167725	0.457764	0.190674	0.098591	-0.004285	-0.004025	1.000000	0.000061	0.000003	-0.000038	0.051084	0.016946	0.998551	0.906813	-0.419700	-0.039268	0.418426	0.907505	-0.036807
30578	0	0	0	0	0	0	0	0	9.855148	-0.397474	-0.418623	-0.157959	0.463623	0.193848	0.098551	-0.003977	-0.004186	1.000000	0.000052	-0.000000	-0.000023	0.051041	0.016967	0.998552	0.906859	-0.419605	-0.039225	0.418332	0.907548	-0.036804
30579	0	0	0	0	0	0	0	0	9.873461	-0.402722	-0.433879	-0.166748	0.451660	0.188721	0.098735	-0.004030	-0.004337	1.000000	0.000049	-0.000018	-0.000030	0.051054	0.017050	0.998550	0.906901	-0.419515	-0.039205	0.418239	0.907588	-0.036880
30580	0	0	0	0	0	0	0	0	9.855177	-0.396453	-0.418900	-0.160889	0.457275	0.190674	0.098552	-0.003967	-0.004189	1.000000	0.000043	0.000002	-0.000028	0.051002	0.017070	0.998553	0.906940	-0.419437	-0.039152	0.418162	0.907624	-0.036874
30581	0	0	0	0	0	0	0	0	9.855206	-0.395801	-0.418837	-0.155273	0.460693	0.185059	0.098552	-0.003962	-0.004189	1.000000	0.000040	0.000002	-0.000042	0.050985	0.017140	0.998552	0.906975	-0.419364	-0.039111	0.418086	0.907656	-0.036927
30582	0	0	0	0	0	0	0	0	9.868487	-0.402899	-0.399914	-0.159912	0.455811	0.189941	0.098685	-0.004031	-0.003998	1.000000	0.000081	-0.000013	-0.000027	0.050948	0.017187	0.998553	0.907046	-0.419216	-0.039063	0.417938	0.907724	-0.036947
30583	0	0	0	0	0	0	0	0	9.859274	-0.424783	-0.402551	-0.163818	0.465820	0.188232	0.098593	-0.004251	-0.004027	1.000000	0.000020	0.000013	-0.000034	0.050943	0.017239	0.998553	0.907064	-0.419180	-0.039039	0.417900	0.907740	-0.036991
